x,y,Initial_Distribution,Climate_Suitability
-139.0416667,60.04166667,0,316
-138.9583333,60.04166667,0,311
-138.875,60.04166667,0,284
-138.7916667,60.04166667,0,275
-138.7083333,60.04166667,0,240
-138.625,60.04166667,0,236
-138.5416667,60.04166667,0,222
-138.4583333,60.04166667,0,222
-138.375,60.04166667,0,212
-138.2916667,60.04166667,0,235
-138.2083333,60.04166667,0,200
-138.125,60.04166667,0,173
-138.0416667,60.04166667,0,170
-137.9583333,60.04166667,0,163
-137.875,60.04166667,0,156
-137.7916667,60.04166667,0,156
-137.7083333,60.04166667,0,130
-137.625,60.04166667,0,117
-137.5416667,60.04166667,0,106
-137.4583333,60.04166667,0,101
-137.375,60.04166667,0,95
-137.2916667,60.04166667,0,89
-137.2083333,60.04166667,0,81
-137.125,60.04166667,0,72
-137.0416667,60.04166667,0,82
-136.9583333,60.04166667,0,69
-136.875,60.04166667,0,70
-136.7916667,60.04166667,0,88
-136.7083333,60.04166667,0,86
-136.625,60.04166667,0,86
-136.5416667,60.04166667,0,88
-136.4583333,60.04166667,0,96
-136.375,60.04166667,0,87
-136.2916667,60.04166667,0,86
-136.2083333,60.04166667,0,76
-136.125,60.04166667,0,77
-136.0416667,60.04166667,0,96
-135.9583333,60.04166667,0,81
-135.875,60.04166667,0,75
-135.7916667,60.04166667,0,99
-135.7083333,60.04166667,0,83
-135.625,60.04166667,0,78
-135.5416667,60.04166667,0,86
-135.4583333,60.04166667,0,79
-135.375,60.04166667,0,87
-135.2916667,60.04166667,0,82
-135.2083333,60.04166667,0,71
-135.125,60.04166667,0,57
-135.0416667,60.04166667,0,45
-134.9583333,60.04166667,0,41
-134.875,60.04166667,0,30
-134.7916667,60.04166667,0,41
-134.7083333,60.04166667,0,69
-134.625,60.04166667,0,47
-134.5416667,60.04166667,0,33
-134.4583333,60.04166667,0,38
-134.375,60.04166667,0,45
-134.2916667,60.04166667,0,40
-134.2083333,60.04166667,0,26
-134.125,60.04166667,0,27
-134.0416667,60.04166667,0,41
-133.9583333,60.04166667,0,34
-133.875,60.04166667,0,30
-133.7916667,60.04166667,0,29
-133.7083333,60.04166667,0,35
-133.625,60.04166667,0,38
-133.5416667,60.04166667,0,38
-133.4583333,60.04166667,0,41
-133.375,60.04166667,0,42
-133.2916667,60.04166667,0,44
-133.2083333,60.04166667,0,44
-133.125,60.04166667,0,41
-133.0416667,60.04166667,0,39
-132.9583333,60.04166667,0,40
-132.875,60.04166667,0,39
-132.7916667,60.04166667,0,39
-132.7083333,60.04166667,0,40
-132.625,60.04166667,0,40
-132.5416667,60.04166667,0,38
-132.4583333,60.04166667,0,36
-132.375,60.04166667,0,37
-132.2916667,60.04166667,0,42
-132.2083333,60.04166667,0,45
-132.125,60.04166667,0,46
-132.0416667,60.04166667,0,46
-131.9583333,60.04166667,0,55
-131.875,60.04166667,0,68
-131.7916667,60.04166667,0,64
-131.7083333,60.04166667,0,55
-131.625,60.04166667,0,67
-131.5416667,60.04166667,0,82
-131.4583333,60.04166667,0,84
-131.375,60.04166667,0,86
-131.2916667,60.04166667,0,88
-131.2083333,60.04166667,0,80
-131.125,60.04166667,0,74
-131.0416667,60.04166667,0,68
-130.9583333,60.04166667,0,62
-130.875,60.04166667,0,69
-130.7916667,60.04166667,0,79
-130.7083333,60.04166667,0,88
-130.625,60.04166667,0,82
-130.5416667,60.04166667,0,80
-130.4583333,60.04166667,0,80
-130.375,60.04166667,0,81
-130.2916667,60.04166667,0,66
-130.2083333,60.04166667,0,72
-130.125,60.04166667,0,71
-130.0416667,60.04166667,0,67
-129.9583333,60.04166667,0,63
-129.875,60.04166667,0,55
-129.7916667,60.04166667,0,52
-129.7083333,60.04166667,0,55
-129.625,60.04166667,0,52
-129.5416667,60.04166667,0,45
-129.4583333,60.04166667,0,39
-129.375,60.04166667,0,36
-129.2916667,60.04166667,0,31
-129.2083333,60.04166667,0,30
-129.125,60.04166667,0,27
-129.0416667,60.04166667,0,26
-128.9583333,60.04166667,0,25
-128.875,60.04166667,0,23
-128.7916667,60.04166667,0,23
-128.7083333,60.04166667,0,23
-128.625,60.04166667,0,24
-128.5416667,60.04166667,0,23
-128.4583333,60.04166667,0,24
-128.375,60.04166667,0,26
-128.2916667,60.04166667,0,24
-128.2083333,60.04166667,0,25
-128.125,60.04166667,0,28
-128.0416667,60.04166667,0,29
-127.9583333,60.04166667,0,27
-127.875,60.04166667,0,26
-127.7916667,60.04166667,0,27
-127.7083333,60.04166667,0,25
-127.625,60.04166667,0,25
-127.5416667,60.04166667,0,25
-127.4583333,60.04166667,0,31
-127.375,60.04166667,0,37
-127.2916667,60.04166667,0,33
-127.2083333,60.04166667,0,30
-127.125,60.04166667,0,26
-127.0416667,60.04166667,0,37
-126.9583333,60.04166667,0,38
-126.875,60.04166667,0,41
-126.7916667,60.04166667,0,37
-126.7083333,60.04166667,0,33
-126.625,60.04166667,0,32
-126.5416667,60.04166667,0,28
-126.4583333,60.04166667,0,27
-126.375,60.04166667,0,24
-126.2916667,60.04166667,0,29
-126.2083333,60.04166667,0,31
-126.125,60.04166667,0,34
-126.0416667,60.04166667,0,38
-125.9583333,60.04166667,0,40
-125.875,60.04166667,0,40
-125.7916667,60.04166667,0,42
-125.7083333,60.04166667,0,38
-125.625,60.04166667,0,38
-125.5416667,60.04166667,0,37
-125.4583333,60.04166667,0,37
-125.375,60.04166667,0,44
-125.2916667,60.04166667,0,43
-125.2083333,60.04166667,0,38
-125.125,60.04166667,0,39
-125.0416667,60.04166667,0,50
-124.9583333,60.04166667,0,50
-124.875,60.04166667,0,39
-124.7916667,60.04166667,0,36
-124.7083333,60.04166667,0,35
-124.625,60.04166667,0,39
-124.5416667,60.04166667,0,32
-124.4583333,60.04166667,0,32
-124.375,60.04166667,0,31
-124.2916667,60.04166667,0,31
-124.2083333,60.04166667,0,32
-124.125,60.04166667,0,30
-124.0416667,60.04166667,0,30
-123.9583333,60.04166667,0,27
-123.875,60.04166667,0,30
-123.7916667,60.04166667,0,26
-123.7083333,60.04166667,0,25
-123.625,60.04166667,0,28
-123.5416667,60.04166667,0,31
